type,type2,type3,region_2024,unit,election,list,lists_national,listmin,listmax,candidates,ifp_candidates,ifp_seats,dm,as,as2,enpv,enps,enpv_national,enps_national,sp,spm,logmag,polarization_district,polarization_national,dif,dif2,ethnic_frac,ethnic_number,ethnic_presence,av_id,Rae,LH,Lijphart_1,Lijphart_2,Gallagher,Cox_Shugart,Mainwaring_Jones,Chhibber_Kollman,votes,subunits,percent_ind
Concejales,Concejales 2004-2021,Concejales - 2004,6,Paredones,2004,4,5,2.548918641,52.08547889,16,1,0,6,6,2144,2.37,1.8,2.43,2.63,36,1.817120593,1.791759469,2.776754798,2.993691376,1.63,0.57,0.06030846,0.283793876,3.102779573,5.005490522,0.07,0.15,0.15,0.12,0.38,0.73,88.457,-0.035,3884,1,6.25
Concejales,Concejales 2004-2021,Concejales - 2004,7,Parral,2004,7,5,0.965310758,39.48482346,21,4,0,6,6,2144,3.29,2,2.43,2.63,36,1.817120593,1.791759469,3.06184513,2.993691376,3.71,1.29,0.062569632,0.71122627,3.220693134,5.002823524,0.07,0.25,0.14,0.15,0.5,0.65,88.457,-0.035,19372,1,19.04761905
Concejales,Concejales 2004-2021,Concejales - 2004,13,Pedro Aguirre Cerda,2004,3,5,26.04618587,46.51465925,23,0,0,6,6,2144,2.78,2.57,2.43,2.63,36,1.817120593,1.791759469,3.42001575,2.993691376,0.22,0.21,0.190793577,2.910265363,10.52345464,4.213823661,0.06,0.09,0.09,0.07,0.31,0.61,88.457,-0.035,51401,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,7,Pelarco,2004,6,5,1.359223301,33.07443366,21,3,0,6,6,2144,3.93,2.57,2.43,2.63,36,1.817120593,1.791759469,4.148267083,2.993691376,2.07,1.36,0.055302402,0.550509221,2.837805747,4.997202473,0.07,0.21,0.17,0.11,0.46,0.59,88.457,-0.035,4635,1,14.28571429
Concejales,Concejales 2004-2021,Concejales - 2004,7,Pelluhue,2004,9,5,1.261692408,43.5501414,19,6,0,6,6,2144,3.43,1.8,2.43,2.63,36,1.817120593,1.791759469,2.370207927,2.993691376,5.57,1.63,0.070233585,0.701590271,3.632281073,5.004491796,0.06,0.27,0.23,0.16,0.52,0.63,88.457,-0.035,4597,1,31.57894737
Concejales,Concejales 2004-2021,Concejales - 2004,16,Pemuco,2004,5,5,0.973338976,47.31273804,14,2,1,6,6,2144,2.9,2.57,2.43,2.63,36,1.817120593,1.791759469,2.288083782,2.993691376,2.1,0.33,0.083476533,0.464799909,4.356060606,5.007213789,0.03,0.06,0.05,0.04,0.25,0.87,88.457,-0.035,4726,1,14.28571429
Concejales,Concejales 2004-2021,Concejales - 2004,13,Peñaflor,2004,3,5,7.196996529,53.25494085,17,0,0,6,6,2144,2.25,1.8,2.43,2.63,36,1.817120593,1.791759469,2.760395185,2.993691376,0.75,0.45,0.148174403,1.855326558,7.998802674,5.169343699,0.09,0.13,0.13,0.12,0.37,0.69,88.457,-0.035,28234,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,13,Peñalolen,2004,3,5,12.73397462,49.36419195,24,0,0,8,8,2144,2.48,2.46,2.43,2.63,64,2,2.079441542,3.141937452,2.993691376,0.52,0.02,0.223378645,4.963898917,12.63829734,4.907578311,0,0.01,0.01,0.01,0.08,0.98,88.457,-0.035,72978,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,7,Pencahue,2004,8,5,1.7380509,44.04096834,21,5,0,6,6,2144,3.3,1.8,2.43,2.63,36,1.817120593,1.791759469,2.89176768,2.993691376,4.7,1.5,0.040711106,0.517137703,2.073984233,4.999847504,0.06,0.25,0.23,0.15,0.5,0.63,88.457,-0.035,6444,1,23.80952381
Concejales,Concejales 2004-2021,Concejales - 2004,8,Penco,2004,5,5,4.565277907,52.14345365,19,2,0,6,6,2144,2.68,1.8,2.43,2.63,36,1.817120593,1.791759469,2.703070689,2.993691376,2.32,0.88,0.162341249,1.810239917,8.866932675,4.997518041,0.07,0.18,0.15,0.13,0.42,0.69,88.457,-0.035,21554,1,10.52631579
Concejales,Concejales 2004-2021,Concejales - 2004,6,Peralillo,2004,3,5,20.25086348,41.24704599,17,0,0,6,6,2144,2.78,2.57,2.43,2.63,36,1.817120593,1.791759469,3.829388724,2.993691376,0.22,0.21,0.063989013,0.287799363,3.297901336,4.785811671,0.06,0.09,0.09,0.06,0.3,0.63,88.457,-0.035,5501,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,9,Perquenco,2004,4,5,0.40738729,47.01249321,19,0,0,6,6,2144,2.73,2.57,2.43,2.63,36,1.817120593,1.791759469,2.281179179,2.993691376,1.27,0.16,0.506117103,37.79844961,50.89065894,5.666892993,0.02,0.04,0.04,0.03,0.2,0.91,88.457,-0.035,3682,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,5,Petorca,2004,4,5,2.035830619,50.50895765,17,1,0,6,6,2144,2.63,2.57,2.43,2.63,36,1.817120593,1.791759469,3.136396678,2.993691376,1.37,0.06,0.126723242,0.529661017,6.645634032,4.974639489,0.01,0.03,0.02,0.02,0.16,0.97,88.457,-0.035,4912,1,5.882352941
Concejales,Concejales 2004-2021,Concejales - 2004,6,Peumo,2004,5,5,2.087771623,57.17937793,17,2,0,6,6,2144,2.33,1.8,2.43,2.63,36,1.817120593,1.791759469,2.348709747,2.993691376,2.67,0.53,0.113289959,1.11843992,6.001537064,5.001031723,0.05,0.12,0.09,0.1,0.34,0.8,88.457,-0.035,7041,1,11.76470588
Concejales,Concejales 2004-2021,Concejales - 2004,1,Pica,2004,4,5,2.37702212,53.15285573,18,0,0,6,6,2144,2.43,1.8,2.43,2.63,36,1.817120593,1.791759469,3.480102816,2.993691376,1.57,0.63,0.602741963,23.63224344,45.46041308,5.372895345,0.07,0.14,0.14,0.11,0.37,0.72,88.457,-0.035,3029,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,6,Pichidegua,2004,10,5,0.696316262,38.87017071,20,7,0,6,6,2144,3.93,2,2.43,2.63,36,1.817120593,1.791759469,2.291424279,2.993691376,6.07,1.93,0.072813728,0.394232935,3.768895201,5.002287374,0.06,0.32,0.21,0.16,0.56,0.6,88.457,-0.035,8904,1,35
Concejales,Concejales 2004-2021,Concejales - 2004,6,Pichilemu,2004,8,5,0.740521327,39.3957346,23,5,1,6,6,2144,3.69,2.57,2.43,2.63,36,1.817120593,1.791759469,3.164524043,2.993691376,4.31,1.12,0.122026102,0.952227243,6.477979749,4.998735966,0.04,0.17,0.12,0.09,0.41,0.72,88.457,-0.035,6752,1,21.73913043
Concejales,Concejales 2004-2021,Concejales - 2004,16,Pinto,2004,12,5,1.279284834,45.03699137,22,9,0,6,6,2144,3.27,1.8,2.43,2.63,36,1.817120593,1.791759469,2.370019231,2.993691376,8.73,1.47,0.081476471,1.063291139,4.230165327,5.005738742,0.04,0.24,0.22,0.15,0.49,0.68,88.457,-0.035,6488,1,40.90909091
Concejales,Concejales 2004-2021,Concejales - 2004,13,Pirque,2004,11,5,1.046124584,46.99239182,22,8,0,6,6,2144,3.11,1.8,2.43,2.63,36,1.817120593,1.791759469,2.518627435,2.993691376,7.89,1.31,0.121939335,1.38243284,6.470344255,5.005262764,0.04,0.24,0.2,0.15,0.48,0.69,88.457,-0.035,8412,1,36.36363636
Concejales,Concejales 2004-2021,Concejales - 2004,9,Pitrufquen,2004,6,5,1.547546325,42.11973122,20,2,0,6,6,2144,3.12,2.57,2.43,2.63,36,1.817120593,1.791759469,2.396484791,2.993691376,2.88,0.55,0.453798569,20.73858468,33.9131135,5.00687441,0.04,0.12,0.08,0.08,0.34,0.82,88.457,-0.035,9822,1,10
Concejales,Concejales 2004-2021,Concejales - 2004,6,Placilla,2004,4,5,3.24005891,47.8013886,17,1,0,6,6,2144,2.54,2,2.43,2.63,36,1.817120593,1.791759469,3.00864615,2.993691376,1.46,0.54,0.105761707,0.75513741,5.573357748,5.008052514,0.06,0.13,0.11,0.1,0.36,0.75,88.457,-0.035,4753,1,5.882352941
Concejales,Concejales 2004-2021,Concejales - 2004,16,Portezuelo,2004,8,5,2.729462135,41.95879047,21,5,0,6,6,2144,3.6,1.8,2.43,2.63,36,1.817120593,1.791759469,2.826977813,2.993691376,4.4,1.8,0.05534107,0.950639854,2.838338132,5.0003226,0.07,0.29,0.25,0.16,0.54,0.59,88.457,-0.035,3737,1,23.80952381
Concejales,Concejales 2004-2021,Concejales - 2004,12,Porvenir,2004,6,5,3.223070399,45.971162,21,3,0,6,6,2144,3.26,2.57,2.43,2.63,36,1.817120593,1.791759469,3.051967179,2.993691376,2.74,0.69,0.402209592,7.959743824,26.77547419,4.997094669,0.05,0.14,0.07,0.08,0.37,0.78,88.457,-0.035,2358,1,14.28571429
Concejales,Concejales 2004-2021,Concejales - 2004,1,Pozo Almonte,2004,8,5,1.781994909,40.66188382,27,4,0,6,6,2144,3.64,1.8,2.43,2.63,36,1.817120593,1.791759469,3.748737012,2.993691376,4.36,1.84,0.592106839,17.38688827,42.11062313,5.000804323,0.07,0.29,0.26,0.16,0.54,0.57,88.457,-0.035,4321,1,14.81481481
Concejales,Concejales 2004-2021,Concejales - 2004,12,Primavera,2004,4,5,8.493771234,41.10985277,17,1,0,6,6,2144,2.99,2.57,2.43,2.63,36,1.817120593,1.791759469,3.451706634,2.993691376,1.01,0.42,0.352853619,5.31496063,22.36614853,5.002108722,0.06,0.13,0.09,0.09,0.36,0.74,88.457,-0.035,883,1,5.882352941
Concejales,Concejales 2004-2021,Concejales - 2004,13,Providencia,2004,3,5,5.080583269,56.82578665,21,0,0,8,8,2144,2.12,1.88,2.43,2.63,64,2,2.079441542,2.747415942,2.993691376,0.88,0.24,0.095274958,1.24178897,4.950062993,5.861170376,0.04,0.06,0.06,0.05,0.24,0.83,88.457,-0.035,65150,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,5,Puchuncavi,2004,5,5,1.319261214,46.71573393,16,2,0,6,6,2144,2.48,2,2.43,2.63,36,1.817120593,1.791759469,2.803070688,2.993691376,2.52,0.48,0.11671758,1.188821985,6.163054028,5.011146211,0.04,0.11,0.08,0.09,0.33,0.82,88.457,-0.035,7201,1,12.5
Concejales,Concejales 2004-2021,Concejales - 2004,9,Pucon,2004,9,5,0.682890489,46.84628756,20,5,0,6,6,2144,3.14,2.57,2.43,2.63,36,1.817120593,1.791759469,2.321962836,2.993691376,5.86,0.57,0.407497813,16.814327,27.90379694,5.007987537,0.03,0.12,0.05,0.08,0.35,0.86,88.457,-0.035,8054,1,25
